Date,Close
10/10/2010,19
13/10/2010,24
17/10/2010,48
20/10/2010,56
24/10/2010,6
27/10/2010,8
31/10/2010,23
03/11/2010,24
07/11/2010,28
10/11/2010,31
14/11/2010,3
17/11/2010,4
21/11/2010,26
24/11/2010,27
28/11/2010,32
01/12/2010,38
05/12/2010,5
08/12/2010,16
12/12/2010,21
15/12/2010,28
19/12/2010,41
22/12/2010,52
26/12/2010,14
29/12/2010,17
02/01/2011,23
05/01/2011,25
09/01/2011,47
12/01/2011,51
16/01/2011,10
19/01/2011,26
23/01/2011,30
26/01/2011,42
30/01/2011,45
02/02/2011,49
06/02/2011,2
09/02/2011,18
13/02/2011,30
16/02/2011,33
20/02/2011,34
23/02/2011,50
27/02/2011,18
02/03/2011,22
06/03/2011,25
09/03/2011,36
13/03/2011,37
16/03/2011,50
20/03/2011,5
23/03/2011,25
27/03/2011,26
30/03/2011,40
03/04/2011,44
06/04/2011,54
10/04/2011,1
13/04/2011,17
17/04/2011,32
20/04/2011,46
24/04/2011,47
27/04/2011,54
01/05/2011,4
04/05/2011,7
08/05/2011,16
11/05/2011,32
15/05/2011,42
18/05/2011,55
22/05/2011,16
25/05/2011,19
29/05/2011,28
01/06/2011,44
05/06/2011,45
08/06/2011,54
12/06/2011,7
15/06/2011,9
19/06/2011,10
22/06/2011,19
26/06/2011,28
29/06/2011,36
03/07/2011,25
06/07/2011,27
10/07/2011,34
13/07/2011,35
17/07/2011,47
20/07/2011,48
24/07/2011,1
27/07/2011,9
31/07/2011,23
03/08/2011,25
07/08/2011,26
10/08/2011,35
14/08/2011,9
17/08/2011,14
21/08/2011,18
24/08/2011,33
28/08/2011,42
31/08/2011,48
04/09/2011,13
07/09/2011,18
11/09/2011,21
14/09/2011,22
18/09/2011,27
21/09/2011,54
25/09/2011,6
28/09/2011,18
02/10/2011,23
05/10/2011,32
09/10/2011,52
12/10/2011,56
16/10/2011,14
19/10/2011,16
23/10/2011,18
26/10/2011,20
30/10/2011,38
02/11/2011,54
06/11/2011,2
09/11/2011,10
13/11/2011,34
16/11/2011,42
20/11/2011,53
23/11/2011,54
27/11/2011,1
30/11/2011,3
04/12/2011,14
07/12/2011,21
11/12/2011,37
14/12/2011,54
18/12/2011,7
21/12/2011,10
25/12/2011,43
28/12/2011,48
01/01/2012,51
04/01/2012,56
08/01/2012,7
11/01/2012,11
15/01/2012,47
18/01/2012,53
22/01/2012,55
25/01/2012,56
29/01/2012,3
01/02/2012,21
05/02/2012,42
08/02/2012,51
12/02/2012,54
15/02/2012,56
19/02/2012,2
22/02/2012,9
26/02/2012,10
29/02/2012,24
04/03/2012,38
07/03/2012,53
11/03/2012,20
14/03/2012,36
18/03/2012,45
21/03/2012,46
25/03/2012,47
28/03/2012,56
01/04/2012,7
04/04/2012,13
08/04/2012,22
11/04/2012,29
15/04/2012,33
18/04/2012,51
22/04/2012,7
25/04/2012,28
29/04/2012,31
02/05/2012,33
06/05/2012,36
09/05/2012,42
13/05/2012,7
16/05/2012,8
20/05/2012,29
23/05/2012,37
27/05/2012,43
30/05/2012,50
03/06/2012,5
06/06/2012,8
10/06/2012,16
13/06/2012,20
17/06/2012,44
20/06/2012,45
24/06/2012,9
27/06/2012,11
01/07/2012,17
04/07/2012,30
08/07/2012,34
11/07/2012,45
15/07/2012,5
18/07/2012,14
22/07/2012,15
25/07/2012,47
29/07/2012,48
01/08/2012,54
05/08/2012,6
08/08/2012,9
12/08/2012,11
15/08/2012,21
19/08/2012,32
22/08/2012,56
26/08/2012,4
29/08/2012,14
02/09/2012,19
05/09/2012,30
09/09/2012,44
12/09/2012,50
16/09/2012,11
19/09/2012,16
23/09/2012,19
26/09/2012,22
30/09/2012,26
03/10/2012,32
07/10/2012,13
10/10/2012,30
14/10/2012,31
17/10/2012,33
21/10/2012,46
24/10/2012,50
28/10/2012,22
31/10/2012,27
04/11/2012,33
07/11/2012,37
11/11/2012,43
14/11/2012,52
18/11/2012,11
21/11/2012,15
25/11/2012,20
28/11/2012,36
02/12/2012,39
05/12/2012,45
09/12/2012,7
12/12/2012,21
16/12/2012,26
19/12/2012,37
23/12/2012,48
26/12/2012,52
30/12/2012,8
02/01/2013,21
06/01/2013,33
09/01/2013,41
13/01/2013,48
16/01/2013,51
20/01/2013,18
23/01/2013,27
27/01/2013,35
30/01/2013,41
03/02/2013,45
06/02/2013,49
10/02/2013,2
13/02/2013,7
17/02/2013,12
20/02/2013,19
24/02/2013,29
27/02/2013,40
03/03/2013,1
06/03/2013,9
10/03/2013,15
13/03/2013,34
17/03/2013,44
20/03/2013,52
24/03/2013,24
27/03/2013,28
31/03/2013,29
03/04/2013,44
07/04/2013,51
10/04/2013,53
14/04/2013,15
17/04/2013,21
21/04/2013,38
24/04/2013,40
28/04/2013,46
01/05/2013,50
05/05/2013,25
08/05/2013,39
12/05/2013,43
15/05/2013,44
19/05/2013,45
22/05/2013,53
26/05/2013,19
29/05/2013,35
02/06/2013,36
05/06/2013,38
09/06/2013,43
12/06/2013,53
16/06/2013,13
19/06/2013,15
23/06/2013,37
26/06/2013,39
30/06/2013,50
03/07/2013,52
07/07/2013,3
10/07/2013,14
14/07/2013,16
17/07/2013,23
21/07/2013,40
24/07/2013,45
28/07/2013,8
31/07/2013,10
04/08/2013,13
07/08/2013,22
11/08/2013,26
14/08/2013,30
18/08/2013,1
21/08/2013,2
25/08/2013,29
28/08/2013,35
01/09/2013,43
04/09/2013,47
08/09/2013,1
11/09/2013,12
15/09/2013,27
18/09/2013,48
22/09/2013,49
25/09/2013,56
29/09/2013,5
02/10/2013,17
06/10/2013,33
09/10/2013,36
13/10/2013,38
16/10/2013,43
20/10/2013,7
23/10/2013,9
27/10/2013,13
30/10/2013,31
03/11/2013,51
06/11/2013,54
10/11/2013,2
13/11/2013,9
17/11/2013,31
20/11/2013,40
24/11/2013,42
27/11/2013,50
01/12/2013,11
04/12/2013,12
08/12/2013,17
11/12/2013,31
15/12/2013,40
18/12/2013,55
22/12/2013,17
25/12/2013,20
29/12/2013,22
01/01/2014,25
05/01/2014,43
08/01/2014,55
12/01/2014,19
15/01/2014,23
19/01/2014,28
22/01/2014,34
26/01/2014,40
29/01/2014,52
02/02/2014,15
05/02/2014,16
09/02/2014,26
12/02/2014,33
16/02/2014,41
19/02/2014,56
23/02/2014,9
26/02/2014,16
02/03/2014,22
05/03/2014,43
09/03/2014,49
12/03/2014,53
16/03/2014,24
19/03/2014,29
23/03/2014,34
26/03/2014,36
30/03/2014,37
02/04/2014,46
06/04/2014,16
09/04/2014,27
13/04/2014,29
16/04/2014,34
20/04/2014,50
23/04/2014,56
27/04/2014,7
30/04/2014,12
04/05/2014,35
07/05/2014,40
11/05/2014,41
14/05/2014,50
18/05/2014,20
21/05/2014,23
25/05/2014,31
28/05/2014,40
01/06/2014,43
04/06/2014,54
08/06/2014,6
11/06/2014,11
15/06/2014,41
18/06/2014,48
22/06/2014,50
25/06/2014,52
29/06/2014,22
02/07/2014,23
06/07/2014,24
09/07/2014,29
13/07/2014,36
16/07/2014,40
20/07/2014,12
23/07/2014,21
27/07/2014,24
30/07/2014,34
03/08/2014,37
06/08/2014,55
10/08/2014,10
13/08/2014,21
17/08/2014,31
20/08/2014,39
24/08/2014,40
27/08/2014,42
31/08/2014,1
03/09/2014,18
07/09/2014,19
10/09/2014,20
14/09/2014,34
17/09/2014,53
21/09/2014,3
24/09/2014,7
28/09/2014,29
01/10/2014,30
05/10/2014,39
08/10/2014,51
12/10/2014,25
15/10/2014,33
19/10/2014,46
22/10/2014,49
26/10/2014,51
29/10/2014,54
02/11/2014,1
05/11/2014,2
09/11/2014,32
12/11/2014,33
16/11/2014,45
19/11/2014,56
23/11/2014,1
26/11/2014,7
30/11/2014,9
03/12/2014,18
07/12/2014,32
10/12/2014,55
14/12/2014,16
17/12/2014,19
21/12/2014,29
24/12/2014,34
28/12/2014,40
31/12/2014,45
04/01/2015,1
07/01/2015,7
11/01/2015,13
14/01/2015,14
18/01/2015,19
21/01/2015,20
25/01/2015,10
28/01/2015,16
01/02/2015,23
04/02/2015,52
08/02/2015,54
11/02/2015,56
15/02/2015,2
18/02/2015,14
22/02/2015,19
25/02/2015,39
01/03/2015,43
04/03/2015,45
08/03/2015,22
11/03/2015,28
15/03/2015,33
18/03/2015,35
22/03/2015,50
25/03/2015,51
29/03/2015,6
01/04/2015,10
05/04/2015,31
08/04/2015,35
12/04/2015,36
15/04/2015,45
19/04/2015,3
22/04/2015,9
26/04/2015,32
29/04/2015,33
03/05/2015,40
06/05/2015,56
10/05/2015,2
13/05/2015,4
17/05/2015,10
20/05/2015,12
24/05/2015,21
27/05/2015,28
31/05/2015,9
03/06/2015,21
07/06/2015,27
10/06/2015,34
14/06/2015,49
17/06/2015,52
21/06/2015,8
24/06/2015,11
28/06/2015,25
01/07/2015,30
05/07/2015,36
08/07/2015,37
12/07/2015,16
15/07/2015,22
19/07/2015,35
22/07/2015,36
26/07/2015,39
29/07/2015,50
02/08/2015,4
05/08/2015,13
09/08/2015,21
12/08/2015,25
16/08/2015,47
19/08/2015,53
23/08/2015,6
26/08/2015,11
30/08/2015,12
02/09/2015,41
06/09/2015,50
09/09/2015,52
13/09/2015,14
16/09/2015,19
20/09/2015,21
23/09/2015,24
27/09/2015,31
30/09/2015,49
04/10/2015,8
07/10/2015,13
11/10/2015,14
14/10/2015,38
18/10/2015,43
21/10/2015,56
25/10/2015,3
28/10/2015,9
01/11/2015,25
04/11/2015,30
08/11/2015,38
11/11/2015,40
15/11/2015,1
18/11/2015,3
22/11/2015,4
25/11/2015,8
29/11/2015,12
02/12/2015,30
06/12/2015,4
09/12/2015,8
13/12/2015,11
16/12/2015,16
20/12/2015,28
23/12/2015,40
27/12/2015,3
30/12/2015,12
03/01/2016,17
06/01/2016,31
10/01/2016,46
13/01/2016,51
17/01/2016,2
20/01/2016,10
24/01/2016,15
27/01/2016,38
31/01/2016,50
03/02/2016,52
07/02/2016,17
10/02/2016,19
14/02/2016,25
17/02/2016,27
21/02/2016,53
24/02/2016,54
28/02/2016,1
02/03/2016,7
06/03/2016,10
09/03/2016,18
13/03/2016,25
16/03/2016,28
20/03/2016,5
23/03/2016,13
27/03/2016,17
30/03/2016,19
03/04/2016,28
06/04/2016,53
10/04/2016,11
13/04/2016,20
17/04/2016,36
20/04/2016,43
24/04/2016,44
27/04/2016,52
01/05/2016,3
04/05/2016,6
08/05/2016,8
11/05/2016,15
15/05/2016,42
18/05/2016,45
22/05/2016,7
25/05/2016,13
29/05/2016,17
01/06/2016,22
05/06/2016,23
08/06/2016,47
12/06/2016,7
15/06/2016,11
19/06/2016,14
22/06/2016,33
26/06/2016,40
29/06/2016,46
03/07/2016,2
06/07/2016,3
10/07/2016,17
13/07/2016,23
17/07/2016,30
20/07/2016,44
24/07/2016,3
27/07/2016,10
31/07/2016,34
03/08/2016,38
07/08/2016,39
10/08/2016,43
14/08/2016,11
17/08/2016,20
21/08/2016,22
24/08/2016,37
28/08/2016,41
31/08/2016,47
04/09/2016,6
07/09/2016,11
11/09/2016,23
14/09/2016,34
18/09/2016,35
21/09/2016,54
25/09/2016,7
28/09/2016,9
02/10/2016,10
05/10/2016,13
09/10/2016,19
12/10/2016,21
16/10/2016,5
19/10/2016,16
23/10/2016,18
26/10/2016,26
30/10/2016,35
02/11/2016,41
06/11/2016,21
09/11/2016,25
13/11/2016,27
16/11/2016,31
20/11/2016,38
23/11/2016,44
27/11/2016,9
30/11/2016,12
04/12/2016,16
07/12/2016,25
11/12/2016,30
14/12/2016,45
18/12/2016,9
21/12/2016,13
25/12/2016,17
28/12/2016,30
01/01/2017,32
04/01/2017,35
08/01/2017,1
11/01/2017,6
15/01/2017,15
18/01/2017,26
22/01/2017,45
25/01/2017,54
29/01/2017,3
01/02/2017,8
05/02/2017,18
08/02/2017,24
12/02/2017,36
15/02/2017,54
19/02/2017,3
22/02/2017,18
26/02/2017,22
01/03/2017,27
05/03/2017,29
08/03/2017,46
12/03/2017,11
15/03/2017,13
19/03/2017,34
22/03/2017,36
26/03/2017,39
29/03/2017,51
02/04/2017,5
05/04/2017,6
09/04/2017,14
12/04/2017,23
16/04/2017,40
19/04/2017,45
23/04/2017,22
26/04/2017,34
30/04/2017,37
03/05/2017,39
07/05/2017,40
10/05/2017,48
14/05/2017,10
17/05/2017,27
21/05/2017,32
24/05/2017,38
28/05/2017,45
31/05/2017,56
04/06/2017,5
07/06/2017,31
11/06/2017,32
14/06/2017,34
