Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
17/12/2019,54.44,56.28,54.36,,56.97,,
16/12/2019,55.56,55.81,54.03,,55.51,,
13/12/2019,55.41,56.48,55.41,,56.89,,
11/12/2019,54.63,55.36,54.63,,56.19,,
10/12/2019,53.56,54.87,53.52,,54.22,,
09/12/2019,53.68,54.43,52.73,,55.62,,
06/12/2019,54.41,54.48,53.46,,55.14,,
05/12/2019,53.9,54.25,53.7,,54.74,,
04/12/2019,54.81,54.81,53.71,,53.44,,
03/12/2019,54.17,54.89,53.93,,53.56,,
02/12/2019,54.37,54.6,53.87,,53.85,,
29/11/2019,54.42,54.58,53.71,,53.9,,
28/11/2019,54.4,54.4,54.01,,54.35,,
27/11/2019,53.6,54.3,53.55,,54.19,,
26/11/2019,54.82,55.14,53.56,,54.48,,
25/11/2019,54.74,55.16,54.4,,54.29,,
22/11/2019,53.6,55.14,53.55,,54.25,,
21/11/2019,54.69,54.69,53.51,,53.67,,
20/11/2019,55,55.3,54.41,,55,,
19/11/2019,54.59,55.34,54.5,,55.03,,
15/11/2019,55.25,55.25,54.25,,53.65,,
14/11/2019,54.37,55.27,54.11,,54.54,,
13/11/2019,54.01,54.96,54,,54.93,,
12/11/2019,55,55.12,54.06,,54.67,,
11/11/2019,56.11,56.19,54.82,,55.2,,
08/11/2019,56.52,56.79,56.07,,54.16,,
07/11/2019,57.35,57.35,56.16,,54.12,,
06/11/2019,56.44,57.54,56.22,,54.95,,
05/11/2019,57.45,57.63,55.98,,56.19,,
04/11/2019,59.15,59.24,57.22,,56.57,,
01/11/2019,57.8,59.19,57.8,,57.46,,
31/10/2019,58.7,58.73,57.62,,56.44,,
30/10/2019,58.79,58.89,58.2,,57.39,,
29/10/2019,58.33,58.72,58.03,,59.04,,
28/10/2019,58.32,58.82,58.02,,57.73,,
25/10/2019,58.47,58.91,57.93,,58.58,,
24/10/2019,57.18,58.8,57,,58.63,,
23/10/2019,56.9,57.19,56.52,,58.44,,
22/10/2019,56.84,57.05,56.45,,58.29,,
21/10/2019,56.52,57.04,56.4,,58.7,,
18/10/2019,56.74,57.06,56.41,,57.13,,
17/10/2019,56.52,57.06,56.09,,56.67,,
16/10/2019,56.11,56.7,55.68,,56.71,,
15/10/2019,55.86,56.5,55.57,,56.56,,
14/10/2019,55.01,55.94,55.01,,56.91,,
11/10/2019,55.56,55.96,54.44,,56.57,,
10/10/2019,55.37,55.54,55.13,,55.98,,
09/10/2019,55.89,56.09,55.02,,55.87,,
08/10/2019,57.75,57.9,55.5,,55.14,,
07/10/2019,58.8,58.89,57.75,,55.37,,
04/10/2019,58.08,59.05,57.96,,55.35,,
03/10/2019,57.4,58.31,57.11,,55.62,,
02/10/2019,58.18,58.19,57.1,,57.88,,
01/10/2019,58.49,59.14,58.25,,58.92,,
30/09/2019,58.41,58.99,58.34,,58.19,,
27/09/2019,57.04,58.61,56.7,,57.4,,
26/09/2019,55.81,57.07,55.56,,58.48,,
25/09/2019,55.02,55.89,54.21,,58.48,,
24/09/2019,55.23,55.73,55.1,,58.35,,
23/09/2019,55.09,55.48,54.92,,56.94,,
20/09/2019,55.32,55.62,54.74,,55.7,,
19/09/2019,55.64,55.84,55.12,,55.19,,
18/09/2019,56.8,56.89,55.42,,55.16,,
17/09/2019,57.66,57.85,56.46,,55.01,,
13/09/2019,58.2,58.5,57.45,,55.19,,
12/09/2019,57.09,58.47,56.98,,55.5,,
11/09/2019,56.8,56.99,56.5,,56.73,,
10/09/2019,57.89,58.29,56.45,,57.67,,
09/09/2019,58.23,59.87,57.81,,58.34,,
06/09/2019,59.1,59.13,58.02,,56.81,,
05/09/2019,57.96,59.05,57.6,,56.55,,
04/09/2019,56.41,57.84,56.24,,58.02,,
03/09/2019,56.05,56.55,55.75,,58.16,,
02/09/2019,56.79,56.8,55.79,,58.94,,
30/08/2019,56.63,56.99,56.25,,57.57,,
29/08/2019,55.82,56.58,55.72,,56.3,,
28/08/2019,55.59,56.28,55.32,,55.99,,
27/08/2019,55.11,55.58,54.73,,56.73,,
26/08/2019,56.01,56.28,54.47,,56.31,,
23/08/2019,56.29,56.85,56.01,,55.64,,
22/08/2019,57.2,57.49,56.24,,55.47,,
21/08/2019,56.72,57.7,56.42,,55.09,,
20/08/2019,56.11,56.93,56.11,,56.1,,
19/08/2019,56.3,56.94,55.92,,56.43,,
16/08/2019,55.88,56.5,55.61,,57.49,,
15/08/2019,56.1,56.2,55.54,,56.62,,
14/08/2019,55.79,56.04,55.36,,56.23,,
13/08/2019,55.56,56.14,55.41,,56.06,,
12/08/2019,55.89,55.98,55.26,,55.84,,
09/08/2019,55.32,56.21,55.27,,55.9,,
08/08/2019,55.54,56.08,55.15,,55.96,,
07/08/2019,55.46,55.68,54.5,,55.69,,
06/08/2019,55.48,56.38,55.48,,55.88,,
05/08/2019,55.49,55.69,54.3,,55.38,,
02/08/2019,56.47,56.96,55.48,,55.41,,
01/08/2019,56.41,56.94,56.01,,56.18,,
31/07/2019,56.2,56.68,56.16,,55.56,,
30/07/2019,56.51,56.95,56.12,,55.89,,
29/07/2019,56.2,56.93,55.96,,56.61,,
26/07/2019,55.55,56.39,55.55,,56.54,,
25/07/2019,55.81,55.81,55.27,,56.57,,
24/07/2019,55.3,55.96,55.13,,56.82,,
23/07/2019,55.24,55.44,54.66,,56.23,,
22/07/2019,54.97,55.17,54.5,,55.68,,
19/07/2019,55.19,55.5,54.3,,55.82,,
18/07/2019,54.97,55.44,54.42,,55.38,,
17/07/2019,55.29,55.29,54.65,,55,,
16/07/2019,54.79,55.3,54.47,,54.74,,
15/07/2019,53.51,55.2,53.41,,55.05,,
12/07/2019,53.72,53.84,53.38,,54.82,,
11/07/2019,53.16,53.88,53.1,,55.17,,
10/07/2019,52.64,53.59,52.64,,54.9,,
09/07/2019,54.48,54.49,52.3,,53.64,,
08/07/2019,53.77,54.81,53.77,,53.84,,
05/07/2019,53.96,54.09,53.11,,53.44,,
04/07/2019,53.23,54.17,53.15,,52.44,,
03/07/2019,53.88,53.88,52.98,,54.65,,
02/07/2019,54.15,54.25,53.63,,53.9,,
01/07/2019,52.79,54.25,52.58,,53.98,,
28/06/2019,53.03,53.48,51.88,,53.04,,
27/06/2019,53.54,53.67,52.87,,53.79,,
26/06/2019,53.37,53.7,53.01,,54.17,,
25/06/2019,52.5,53.51,52.33,,52.4,,
24/06/2019,52.98,53.07,52.06,,53.11,,
21/06/2019,53.25,53.84,52.54,,53.55,,
20/06/2019,54.39,54.5,53.26,,53.39,,
19/06/2019,53.49,54.26,53.28,,52.44,,
18/06/2019,53.77,54.09,53.11,,52.85,,
17/06/2019,53.82,54.8,53.3,,53.4,,
14/06/2019,54.52,54.62,53.69,,54.19,,
13/06/2019,56.02,56.25,54.5,,53.2,,
12/06/2019,54.42,56.37,54.42,,53.6,,
11/06/2019,55.08,55.69,54.48,,54.15,,
10/06/2019,54.4,55.03,53.9,,54.65,,
07/06/2019,54.67,54.99,53.62,,56.1,,
06/06/2019,54.34,54.77,53.41,,54.58,,
05/06/2019,54.8,55.09,54.23,,54.95,,
04/06/2019,54.93,55.17,54.58,,53.91,,
03/06/2019,55.3,55.3,54.52,,54.52,,
31/05/2019,54.85,55.44,53.81,,54.36,,
30/05/2019,54.86,55.78,54.43,,54.67,,
29/05/2019,54.59,55.2,54.02,,54.8,,
28/05/2019,54.72,55.32,54.03,,55.31,,
27/05/2019,54.63,55.24,54.41,,55.61,,
24/05/2019,55.1,55.1,54.11,,54.74,,
23/05/2019,54,55.12,53.41,,54.83,,
22/05/2019,54.62,54.62,53.99,,55,,
21/05/2019,55.8,55.8,53.98,,54.83,,
20/05/2019,53.63,56.18,53.42,,54.97,,
17/05/2019,54.21,54.71,53.37,,54.14,,
16/05/2019,53.4,55.09,53.21,,54.75,,
15/05/2019,53.39,53.58,53.11,,55.66,,
14/05/2019,53.8,53.83,53.22,,53.58,,
13/05/2019,54.05,54.29,53.18,,54.38,,
10/05/2019,53.46,54.48,53.3,,53.4,,
09/05/2019,54.15,54.35,53.34,,53.52,,
08/05/2019,54.07,54.59,53.54,,53.51,,
07/05/2019,55.4,55.5,53.81,,54.18,,
06/05/2019,55.29,55.79,55.11,,53.59,,
03/05/2019,56.09,56.19,55.35,,54.43,,
02/05/2019,55.7,56.49,55.41,,54.2,,
30/04/2019,56.9,57.1,55.61,,55.49,,
29/04/2019,56.14,57.26,56.01,,55.39,,
26/04/2019,55.89,56.63,55.46,,55.97,,
25/04/2019,55.59,55.98,55.11,,55.71,,
24/04/2019,55.41,55.79,55.23,,56.87,,
23/04/2019,56.3,56.3,55.41,,55.85,,
22/04/2019,55.47,56.59,55.46,,55.75,,
